Start location: [54.489410887081355,-0.6276154518127441], altitude:47.0 m
1. Start: [54.48876276632316, -0.6148481369018555], End: [54.488775230280794, -0.6148266792297363], Altitude: 74.11 m
2. Start: [54.48852595040634, -0.6131744384765625], End: [54.487042703728385, -0.6157279014587402], Altitude: 112.41 m
3. Start: [54.48482396540234, -0.6195473670959473], End: [54.48575884173315, -0.6179380416870117], Altitude: 112.54 m
4. Start: [54.48466191799818, -0.6177234649658203], End: [54.48749142268584, -0.6128525733947754], Altitude: 113.52 m
5. Start: [54.484499869951854, -0.6159210205078125], End: [54.48569651730938, -0.6138396263122559], Altitude: 109.56 m
6. Start: [54.48701777475303, -0.6157708168029785], End: [54.485783771476065, -0.6178951263427734], Altitude: 133.12 m
7. Start: [54.48498601216434, -0.6213712692260742], End: [54.487391707787516, -0.6172084808349609], Altitude: 142.74 m
8. Start: [54.4895479882329, -0.619804859161377], End: [54.485472148597324, -0.6268215179443359], Altitude: 144.91 m
9. Start: [54.486269898424794, -0.6275510787963867], End: [54.489809725518214, -0.6214570999145508], Altitude: 146.11 m
10. Start: [54.49005899756548, -0.6231307983398438], End: [54.4885010223353, -0.6258130073547363], Altitude: 148.8 m
11. Start: [54.485310103761805, -0.6250190734863281], End: [54.48929871306999, -0.618131160736084], Altitude: 143.32 m
12. Start: [54.48904943638721, -0.6164789199829102], End: [54.48514805828417, -0.6231951713562012], Altitude: 139.44 m
13. Start: [54.487416636534896, -0.6171655654907227], End: [54.48873783839652, -0.6148910522460938], Altitude: 122.16 m
