Start location: [53.947499099734166,-1.063227653503418], altitude:12.01 m
1. Start: [53.94493545477899, -1.0606956481933594], End: [53.94998682128069, -1.0521340370178223], Altitude: 118.45 m
2. Start: [53.94994893830887, -1.0542583465576172], End: [53.94616046734621, -1.0606956481933594], Altitude: 119.09 m
3. Start: [53.942687399986575, -1.0582923889160156], End: [53.95010046998964, -1.0457181930541992], Altitude: 117.4 m
4. Start: [53.948004232866445, -1.0451388359069824], End: [53.94262425063066, -1.0542798042297363], Altitude: 116.91 m
5. Start: [53.94258636097123, -1.052262783050537], End: [53.94662773070218, -1.045396327972412], Altitude: 116.17 m
6. Start: [53.94525118310881, -1.045675277709961], End: [53.94254847127737, -1.050245761871338], Altitude: 115.94 m
7. Start: [53.949380689602364, -1.0448598861694336], End: [53.942662140255685, -1.0562968254089355], Altitude: 116.73 m
8. Start: [53.942725289554254, -1.0603094100952148], End: [53.950062587121074, -1.0478425025939941], Altitude: 117.61 m
9. Start: [53.95002470421808, -1.0499882698059082], End: [53.943710406234125, -1.0607171058654785], Altitude: 117.83 m
10. Start: [53.947398072373566, -1.0606741905212402], End: [53.94991105530265, -1.0564041137695312], Altitude: 119.75 m
11. Start: [53.94987317226203, -1.0585498809814453], End: [53.94862301261609, -1.060652732849121], Altitude: 121.22 m
12. Start: [53.94387459008566, -1.0459327697753906], End: [53.94251058154909, -1.0482287406921387], Altitude: 114.76 m
